OA11CD,LSOA11CD,supgrpcode,supgrpname,Total_Population
E00069037,E01013677,7,Constrained City Dwellers,233
E00069034,E01013676,7,Constrained City Dwellers,280
E00069035,E01013677,7,Constrained City Dwellers,233
E00069032,E01013676,8,Hard-Pressed Living,388
E00169037,E01013744,4,Multicultural Metropolitans,380
E00169038,E01013745,4,Multicultural Metropolitans,337
E00069038,E01013677,8,Hard-Pressed Living,306
E00069039,E01013677,8,Hard-Pressed Living,222
E00069346,E01013752,4,Multicultural Metropolitans,452
E00069341,E01013741,4,Multicultural Metropolitans,337
E00069347,E01013753,4,Multicultural Metropolitans,460
E00069344,E01013747,4,Multicultural Metropolitans,385
E00069345,E01013753,4,Multicultural Metropolitans,571
E00069342,E01013732,4,Multicultural Metropolitans,251
E00069343,E01013732,4,Multicultural Metropolitans,421
E00069340,E01013740,4,Multicultural Metropolitans,401
E00069348,E01013747,4,Multicultural Metropolitans,434
E00068925,E01013654,3,Ethnicity Central,242
E00169530,E01032867,3,Ethnicity Central,103
E00169536,E01032873,2,Cosmopolitans,237
E00169533,E01032872,2,Cosmopolitans,201
E00069534,E01013781,3,Ethnicity Central,235
E00069532,E01013780,4,Multicultural Metropolitans,216
E00169534,E01032873,3,Ethnicity Central,184
E00069531,E01013786,5,Urbanites,336
E00069539,E01013780,5,Urbanites,256
E00169446,E01013646,2,Cosmopolitans,586
E00069440,E01013757,4,Multicultural Metropolitans,400
E00069441,E01013757,4,Multicultural Metropolitans,454
E00069448,E01013768,8,Hard-Pressed Living,386
E00069449,E01013773,8,Hard-Pressed Living,276
E00068736,E01013612,5,Urbanites,266
E00068737,E01013613,5,Urbanites,236
E00068735,E01013613,4,Multicultural Metropolitans,237
E00068732,E01013611,6,Suburbanites,368
E00068731,E01013611,6,Suburbanites,342
E00068739,E01013623,4,Multicultural Metropolitans,346
E00069166,E01013704,6,Suburbanites,329
E00069167,E01013704,5,Urbanites,335
E00069164,E01013712,4,Multicultural Metropolitans,521
E00069162,E01013711,4,Multicultural Metropolitans,356
E00069163,E01013712,5,Urbanites,285
E00069168,E01013703,6,Suburbanites,347
E00068926,E01013656,4,Multicultural Metropolitans,421
E00069169,E01013706,6,Suburbanites,392
E00068927,E01013657,4,Multicultural Metropolitans,449
E00068928,E01013657,4,Multicultural Metropolitans,449
E00068920,E01013657,4,Multicultural Metropolitans,468
